# 方块/物品ID - 中文名称查询表
# 每行一个，格式为：ID,中文名称
# 注释（以 # 开头）、空行（含 Trim 后）载入时均会忽略
#
# 具体执行过程中，对于新旧版本 ID 处理方式如下：
# （以下提到旧版时，即指1.12（1.13扁平化以前），新版即1.13扁平化以后）
#
# 1.重命名：分两种情况：
#
# 　　　　　一：新 ID 与旧 ID 完全不同，新旧 ID 在相对的版本中完全不存在。
# 　　　　　　　如：草方块的 ID grass 变成 grass_block，新版中没有 grass，旧版中也没有 grass_block。
# 　　　　　　　此种情况可用唯一 ID 的形式查询，本表中无特殊前缀（但可能会额外写一行注释）。
#
# 　　　　　二：新 ID 与旧 ID 完全不同，但新旧 ID 在相对版本中相互存在，且可能指代完全不同的方块/物品。
# 　　　　　　　如：西瓜片在旧版中的 ID 为 melon，在新版中被重命名为 melon_slice，
# 　　　　　　　　　同时 melon 被复用为西瓜的 ID，原西瓜的 ID（melon_block）新版中被彻底放弃。
# 　　　　　　　对于此种情况，交叉的 ID 将被重复撰写带有~前缀的条目，以供旧版版数据查询时优先调用。
# 　　　　　　　如前例将处理为：melon,西瓜、melon_block,西瓜，~melon,西瓜片，melon_slice,西瓜片
#
# 2.扩　展：1.12 中的单个 ID 对应了新版中的多个 ID，且旧 ID 可能与拆分后的 ID 之一重名。
#
# 　　　　　例一：旧一对新多，旧 ID 消失。
# 　　　　　　　　具体例子：1.12 中的 double_plant 指各种大型花，
# 　　　　　　　　1.13 中各种大型花具有了各自的 ID，且 double_plant 被取消。
# 　　　　　　　　此种情况下，旧版数据中原则上不会存在新版ID，可使用唯一 Key 方式查询。
# 　　　　　　　　本表中对于这种情况的 ID 没有特别标记（因对实际查询过程并无益处）。
#
# 　　　　　例二：旧一对新多，旧 ID 仍存在。
# 　　　　　　　　具体例子：1.12 中的 stone 指各种石头（石头、三色岩及磨制三色岩），但新版只指『石头』。
# 　　　　　　　　ID 写法为：~id，且与同名 ID 并存。
# 　　　　　　　　此种情况下，在数据版本为旧版时，首先查找带有~的对应ID，如未找到再查找无前缀的ID。
#
# 3.合　并：旧多对新一（不姓工藤），旧 ID 仍存在。
# 　　　　　即：1.12 中的多个 ID 对应了新版中的单个 ID，且旧 ID 之一可能与合并后的新 ID 重名。
# 　　　　　例如：1.12 中阳光传感器、反向阳光传感器分别拥有 ID：daylight_detector、daylight_detector_inverted，
# 　　　　　　　　在新版中，ID 被合并为 daylight_detector。
# 　　　　　ID 写法为：-id，且与同名 ID 并存。
# 　　　　　此种情况下，在数据版本为新版时，在扫描过无前缀ID后，应再扫描是否有-前缀的ID。
# 　　　　　（注意：合并前的方块除去重名项后，至少应有一项可获得物品形式，否则无意义，也不会存在于下表中。
# 　　　　　　　　　由于旧多对新一的情况通常是合并冗余 ID（如燃烧中的熔炉、激活的中继器等），
# 　　　　　　　　　在本表中实际上不存在这类 ID，但保留该形式的查询流程，以供未来可能的情况使用）
#
# 以上新旧 ID 撰写及赴加前缀的条目无顺序要求（原则上是先旧后新）。
# 综上所述，查找数据时，具体执行流程如下：
#
# 1.版本判断：判断数据版本是 1.12 还是 1.13；
#
# 2.数据版本为 1.13：
# 　1.检查查询的 ID 是否包含在列表中，如果没有，则返回未找到，并跳出执行；
# 　2.如查询的 ID 在列表中，再次扫描是否包含带-前缀的 ID，如有则提示用户该 ID 包含多种情况。
#
# 3.数据版本为 1.12：
# 　1.将查询的 ID 添加~前缀，然后检查是否包含在列表中，
# 　　如果是，则意味着玩家可能期望的是合并后的单一ID，给出提示并跳出执行；
# 　2.检查查询的 ID（此时无前缀）是否包含在列表中，如果没有则返回未找到。
# 　　注意，此时新旧版本完全不同的扩展前 ID（如 planks，新版中变成6种木板ID）视作用户对一对多知情，不会再额外提示。
#
# 总结：1.12先找~前缀，再找精确匹配；1.13 先找精确匹配，再找-前缀。
#
# 注1：虽然某些物品/方块原则上不可能在正常游戏中以物品形式获得（如活塞头），本表并不排除这些物品/方块。
# 注2：由于 JE 1.14 部分物品 ID 与新版（1.13）条目重复，只是更新了翻译，本表格中目前暂不启用，全部注释掉。

air,空气
cave_air,洞穴空气
void_air,虚空空气

# stone 旧一对新多，旧 ID 复用
~stone,石头（石头/（磨制）花岗岩/（磨制）闪长岩/（磨制）安山岩）
stone,石头

granite,花岗岩
polished_granite,磨制花岗岩
diorite,闪长岩
polished_diorite,磨制闪长岩
andesite,安山岩
polished_andesite,磨制安山岩

# 草方块的旧 ID 为 grass
grass,草方块
grass_block,草方块

# dirt 旧一对新多，旧 ID 复用
~dirt,泥土（泥土/砂土/灰化土）
dirt,泥土

coarse_dirt,砂土
podzol,灰化土

cobblestone,圆石

# planks 旧一对新多，旧 ID 消失
planks,木板（橡木/云杉/白桦/丛林/金合欢/深色橡木木板）
oak_planks,橡木木板
spruce_planks,云杉木板
birch_planks,白桦木板
jungle_planks,丛林木板
acacia_planks,金合欢木板
dark_oak_planks,深色橡木木板

# sapling 旧一对新多，旧 ID 消失
sapling,树苗（橡木/云杉/白桦/丛林/金合欢/深色橡木树苗）
oak_sapling,橡树树苗
spruce_sapling,云杉树苗
birch_sapling,白桦树苗
jungle_sapling,丛林树苗
acacia_sapling,金合欢树苗
dark_oak_sapling,深色橡树树苗

water,水
bubble_column,气泡柱
lava,熔岩
bedrock,基岩

# sand 旧一对新多，旧 ID 复用
~sand,沙子（沙子/红沙）
sand,沙子
red_sand,红沙

gravel,沙砾
gold_ore,金矿石
iron_ore,铁矿石
coal_ore,煤矿石

# log 旧一对新多，旧 ID 消失
log,原木（橡木/云杉/白桦/丛林木原木）
oak_log,橡木原木
spruce_log,云杉原木
birch_log,白桦原木
jungle_log,丛林原木

# log2 旧一对新多，旧 ID 消失
log2,原木（金合欢/深色橡木原木）
acacia_log,金合欢原木
dark_oak_log,深色橡木原木

stripped_oak_log,去皮橡木原木
stripped_spruce_log,去皮云杉原木
stripped_birch_log,去皮白桦原木
stripped_jungle_log,去皮丛林原木
stripped_acacia_log,去皮金合欢原木
stripped_dark_oak_log,去皮深色橡木原木
stripped_oak_wood,去皮橡木
stripped_spruce_wood,去皮云杉木
stripped_birch_wood,去皮白桦木
stripped_jungle_wood,去皮丛林木
stripped_acacia_wood,去皮金合欢木
stripped_dark_oak_wood,去皮深色橡木

# 注意：wood 指的是六面木，与原木不同
oak_wood,橡木
spruce_wood,云杉木
birch_wood,白桦木
jungle_wood,丛林木
acacia_wood,金合欢木
dark_oak_wood,深色橡木

# leaves 旧一对新多，旧 ID 消失
leaves,树叶（橡木/云杉/白桦/丛林树叶）
oak_leaves,橡树树叶
spruce_leaves,云杉树叶
birch_leaves,白桦树叶
jungle_leaves,丛林树叶

# leaves2 旧一对新多，旧 ID 消失
leaves2,原木（金合欢/深色橡树树叶）
acacia_leaves,金合欢树叶
dark_oak_leaves,深色橡树树叶

# sponge 旧一对新多，旧 ID 复用
~sponge,海绵/湿海绵
sponge,海绵
wet_sponge,湿海绵

glass,玻璃
lapis_ore,青金石矿石
lapis_block,青金石块
dispenser,发射器

# sandstone 旧一对新多，旧 ID 复用
~sandstone,砂岩/錾制砂岩/切制砂岩
sandstone,砂岩

chiseled_sandstone,錾制砂岩
cut_sandstone,切制砂岩

# 音符盒的旧 ID 为 noteblock
noteblock,音符盒
note_block,音符盒

# 充能铁轨的旧 ID 为 golden_rail
golden_rail,充能铁轨
powered_rail,充能铁轨

detector_rail,探测铁轨
sticky_piston,粘性活塞

# 蜘蛛网的旧 ID 为 web
web,蜘蛛网
cobweb,蜘蛛网

tallgrass,高草（枯萎的灌木/草丛/蕨）
fern,蕨
dead_bush,枯萎的灌木
deadbush,枯萎的灌木
seagrass,海草
tall_seagrass,高海草
sea_pickle,海泡菜
piston,活塞
piston_head,活塞头
moving_piston,移动中的活塞
piston_extension,移动活塞臂
wool,羊毛（16色）
white_wool,白色羊毛
orange_wool,橙色羊毛
magenta_wool,品红色
light_blue_wool,淡蓝色羊毛
yellow_wool,黄色羊毛
lime_wool,黄绿色羊毛
pink_wool,粉红色羊毛
gray_wool,灰色羊毛
light_gray_wool,淡灰色羊毛
cyan_wool,青色羊毛
