#成就条件检索列表：探索的时光（adventuring_time）
cold_ocean,冷水海洋
jungle_edge,丛林边缘
snowy_mountains,雪山
forest,森林
badlands_plateau,恶地高原
mushroom_fields,蘑菇岛
mountains,山地
taiga,针叶林
desert_hills,沙漠丘陵
giant_tree_taiga,巨型针叶林
deep_cold_ocean,冷水深海
snowy_tundra,积雪冻原
taiga_hills,针叶林丘陵
desert,沙漠
frozen_river,冻河
deep_frozen_ocean,封冻深海
jungle,丛林
birch_forest,桦木森林
jungle_hills,丛林丘陵
snowy_beach,积雪沙滩
warm_ocean,暖水海洋
deep_lukewarm_ocean,温水深海
badlands,恶地
savanna_plateau,热带高原
beach,沙滩
dark_forest,黑森林
river,河流
lukewarm_ocean,温水海洋
snowy_taiga,积雪针叶林
birch_forest_hills,桦木森林丘陵
wooded_mountains,繁茂的山地
wooded_hills,繁茂的丘陵
giant_tree_taiga_hills,巨型针叶林丘陵
stone_shore,石岸
wooded_badlands_plateau,繁茂的恶地高原
mushroom_field_shore,蘑菇岛岸
swamp,沼泽
snowy_taiga_hills,积雪针叶林丘陵
savanna,热带草原
plains,平原
