#成就条件检索列表：均衡饮食（balanced_diet）
apple,苹果
baked_potato,熟马铃薯
beef,生牛肉
beetroot,甜菜根
beetroot_soup,甜菜汤
bread,面包
carrot,胡萝卜
chicken,生鸡肉
chorus_fruit,紫颂果
cod|raw_cod,生鳕鱼
cooked_beef,熟牛肉
cooked_chicken,熟鸡肉
cooked_cod,熟鳕鱼（熟鱼）
cooked_mutton,熟羊肉
cooked_porkchop,熟猪肉
cooked_rabbit,熟兔肉
cooked_salmon,熟鲑鱼
cookie,曲奇（饼干）
dried_kelp,干海带
enchanted_golden_apple,附魔金苹果
golden_apple,金苹果
golden_carrot,金胡萝卜
melon_slice|melon,西瓜片
mushroom_stew,蘑菇煲
mutton,生羊肉
poisonous_potato,毒马铃薯
porkchop,生猪肉
potato,生马铃薯
pufferfish,河豚
pumpkin_pie,南瓜派
rabbit,生兔肉
rabbit_stew,兔肉煲
rotten_flesh,腐肉
salmon|raw_salmon,生鲑鱼
spider_eye,蜘蛛眼
tropical_fish|clownfish,热带鱼（小丑鱼）
